Energy delta[Wh],GHI,temp,pressure,humidity,wind_speed,rain_1h,snow_1h,clouds_all,isSun,sunlightTime,dayLength,SunlightTime/daylength,weather_type,month
0,0.0,1.6,1021,100,4.9,0.0,0.0,100,0,0,450,0.0,4,1
0,0.0,1.6,1021,100,4.9,0.0,0.0,100,0,0,450,0.0,4,1
0,0.0,1.6,1021,100,4.9,0.0,0.0,100,0,0,450,0.0,4,1
0,0.0,1.6,1021,100,4.9,0.0,0.0,100,0,0,450,0.0,4,1
0,0.0,1.7,1020,100,5.2,0.0,0.0,100,0,0,450,0.0,4,1
0,0.0,1.7,1020,100,5.2,0.0,0.0,100,0,0,450,0.0,4,1
0,0.0,1.7,1020,100,5.2,0.0,0.0,100,0,0,450,0.0,4,1
0,0.0,1.7,1020,100,5.2,0.0,0.0,100,0,0,450,0.0,4,1
0,0.0,1.9,1020,100,5.5,0.0,0.0,100,0,0,450,0.0,4,1
0,0.0,1.9,1020,100,5.5,0.0,0.0,100,0,0,450,0.0,4,1
0,0.0,1.9,1020,100,5.5,0.0,0.0,100,0,0,450,0.0,4,1
0,0.0,1.9,1020,100,5.5,0.0,0.0,100,0,0,450,0.0,4,1
0,0.0,2.0,1019,100,5.7,0.0,0.0,100,0,0,450,0.0,4,1
0,0.0,2.0,1019,100,5.7,0.0,0.0,100,0,0,450,0.0,4,1
0,0.0,2.0,1019,100,5.7,0.0,0.0,100,0,0,450,0.0,4,1
0,0.0,2.0,1019,100,5.7,0.0,0.0,100,0,0,450,0.0,4,1
0,0.0,2.5,1018,100,5.6,0.0,0.0,100,0,0,450,0.0,4,1
0,0.0,2.5,1018,100,5.6,0.0,0.0,100,0,0,450,0.0,4,1
0,0.0,2.5,1018,100,5.6,0.0,0.0,100,0,0,450,0.0,4,1
0,0.0,2.5,1018,100,5.6,0.0,0.0,100,0,0,450,0.0,4,1
0,0.0,2.6,1017,100,5.7,0.0,0.0,100,0,0,450,0.0,4,1
0,0.0,2.6,1017,100,5.7,0.0,0.0,100,0,0,450,0.0,4,1
0,0.0,2.6,1017,100,5.7,0.0,0.0,100,0,0,450,0.0,4,1
0,0.0,2.6,1017,100,5.7,0.0,0.0,100,0,0,450,0.0,4,1
0,0.0,2.8,1017,100,6.0,0.0,0.0,100,0,0,450,0.0,4,1
0,0.0,2.8,1017,100,6.0,0.0,0.0,100,0,0,450,0.0,4,1
0,0.0,2.8,1017,100,6.0,0.0,0.0,100,0,0,450,0.0,4,1
0,0.0,2.8,1017,100,6.0,0.0,0.0,100,0,0,450,0.0,4,1
0,0.0,2.9,1016,100,6.1,0.0,0.0,98,0,0,450,0.0,4,1
0,0.2,2.9,1016,100,6.1,0.0,0.0,98,1,15,450,0.03,4,1
0,2.7,2.9,1016,100,6.1,0.0,0.0,98,1,30,450,0.07,4,1
0,6.4,2.9,1016,100,6.1,0.0,0.0,98,1,45,450,0.1,4,1
5,10.6,3.5,1016,99,6.0,0.0,0.0,98,1,60,450,0.13,4,1
33,6.0,3.5,1016,99,6.0,0.0,0.0,98,1,75,450,0.17,4,1
44,2.8,3.5,1016,99,6.0,0.0,0.0,98,1,90,450,0.2,4,1
61,3.1,3.5,1016,99,6.0,0.0,0.0,98,1,105,450,0.23,4,1
65,3.5,3.6,1016,97,6.2,0.0,0.0,100,1,120,450,0.27,4,1
83,3.8,3.6,1016,97,6.2,0.0,0.0,100,1,135,450,0.3,4,1
69,4.1,3.6,1016,97,6.2,0.0,0.0,100,1,150,450,0.33,4,1
98,4.3,3.6,1016,97,6.2,0.0,0.0,100,1,165,450,0.37,4,1
138,4.5,3.8,1015,93,5.6,0.0,0.0,94,1,180,450,0.4,4,1
161,4.7,3.8,1015,93,5.6,0.0,0.0,94,1,195,450,0.43,4,1
119,6.4,3.8,1015,93,5.6,0.0,0.0,94,1,210,450,0.47,4,1
95,11.9,3.8,1015,93,5.6,0.0,0.0,94,1,225,450,0.5,4,1
105,12.5,3.8,1014,91,5.8,0.0,0.0,100,1,240,450,0.53,4,1
124,10.4,3.8,1014,91,5.8,0.0,0.0,100,1,255,450,0.57,4,1
105,11.3,3.8,1014,91,5.8,0.0,0.0,100,1,270,450,0.6,4,1
67,11.8,3.8,1014,91,5.8,0.0,0.0,100,1,285,450,0.63,4,1
95,11.1,3.8,1014,90,5.9,0.0,0.0,100,1,300,450,0.67,4,1
79,11.3,3.8,1014,90,5.9,0.0,0.0,100,1,315,450,0.7,4,1
42,6.0,3.8,1014,90,5.9,0.0,0.0,100,1,330,450,0.73,4,1
42,3.7,3.8,1014,90,5.9,0.0,0.0,100,1,345,450,0.77,4,1
55,11.7,3.9,1013,89,6.1,0.0,0.0,98,1,360,450,0.8,4,1
96,10.2,3.9,1013,89,6.1,0.0,0.0,98,1,375,450,0.83,4,1
62,8.3,3.9,1013,89,6.1,0.0,0.0,98,1,390,450,0.87,4,1
102,10.0,3.9,1013,89,6.1,0.0,0.0,98,1,405,450,0.9,4,1
58,7.5,3.8,1013,89,6.2,0.0,0.0,98,1,420,450,0.93,4,1
30,3.7,3.8,1013,89,6.2,0.0,0.0,98,1,435,450,0.97,4,1
6,0.8,3.8,1013,89,6.2,0.0,0.0,98,1,450,450,1.0,4,1
0,0.0,3.8,1013,89,6.2,0.0,0.0,98,0,0,450,0.0,4,1
0,0.0,3.6,1013,91,6.0,0.0,0.0,98,0,0,450,0.0,4,1
0,0.0,3.6,1013,91,6.0,0.0,0.0,98,0,0,450,0.0,4,1
0,0.0,3.6,1013,91,6.0,0.0,0.0,98,0,0,450,0.0,4,1
0,0.0,3.6,1013,91,6.0,0.0,0.0,98,0,0,450,0.0,4,1
0,0.0,3.1,1013,91,5.8,0.0,0.0,100,0,0,450,0.0,4,1
0,0.0,3.1,1013,91,5.8,0.0,0.0,100,0,0,450,0.0,4,1
0,0.0,3.1,1013,91,5.8,0.0,0.0,100,0,0,450,0.0,4,1
0,0.0,3.1,1013,91,5.8,0.0,0.0,100,0,0,450,0.0,4,1
0,0.0,3.4,1013,91,5.7,0.0,0.0,100,0,0,450,0.0,4,1
0,0.0,3.4,1013,91,5.7,0.0,0.0,100,0,0,450,0.0,4,1
0,0.0,3.4,1013,91,5.7,0.0,0.0,100,0,0,450,0.0,4,1
0,0.0,3.4,1013,91,5.7,0.0,0.0,100,0,0,450,0.0,4,1
0,0.0,3.0,1013,91,5.5,0.0,0.0,100,0,0,450,0.0,4,1
0,0.0,3.0,1013,91,5.5,0.0,0.0,100,0,0,450,0.0,4,1
0,0.0,3.0,1013,91,5.5,0.0,0.0,100,0,0,450,0.0,4,1
0,0.0,3.0,1013,91,5.5,0.0,0.0,100,0,0,450,0.0,4,1
0,0.0,3.0,1012,91,5.4,0.0,0.0,100,0,0,450,0.0,4,1
0,0.0,3.0,1012,91,5.4,0.0,0.0,100,0,0,450,0.0,4,1
0,0.0,3.0,1012,91,5.4,0.0,0.0,100,0,0,450,0.0,4,1
0,0.0,3.0,1012,91,5.4,0.0,0.0,100,0,0,450,0.0,4,1
0,0.0,2.9,1012,90,5.5,0.0,0.0,100,0,0,450,0.0,4,1
0,0.0,2.9,1012,90,5.5,0.0,0.0,100,0,0,450,0.0,4,1
0,0.0,2.9,1012,90,5.5,0.0,0.0,100,0,0,450,0.0,4,1
0,0.0,2.9,1012,90,5.5,0.0,0.0,100,0,0,450,0.0,4,1
0,0.0,2.8,1012,88,5.7,0.19,0.0,100,0,0,450,0.0,5,1
0,0.0,2.8,1012,88,5.7,0.19,0.0,100,0,0,450,0.0,5,1
0,0.0,2.8,1012,88,5.7,0.19,0.0,100,0,0,450,0.0,5,1
0,0.0,2.8,1012,88,5.7,0.19,0.0,100,0,0,450,0.0,5,1
0,0.0,2.8,1012,90,5.5,0.26,0.0,100,0,0,450,0.0,5,1
0,0.0,2.8,1012,90,5.5,0.26,0.0,100,0,0,450,0.0,5,1
0,0.0,2.8,1012,90,5.5,0.26,0.0,100,0,0,450,0.0,5,1
0,0.0,2.8,1012,90,5.5,0.26,0.0,100,0,0,450,0.0,5,1
0,0.0,2.6,1011,94,5.1,0.33,0.0,100,0,0,450,0.0,5,1
0,0.0,2.6,1011,94,5.1,0.33,0.0,100,0,0,450,0.0,5,1
0,0.0,2.6,1011,94,5.1,0.33,0.0,100,0,0,450,0.0,5,1
0,0.0,2.6,1011,94,5.1,0.33,0.0,100,0,0,450,0.0,5,1
